ClNO3                           ,               14644631.928258
HNO3                            ,            43115876999.173050
ALD2                            ,             7314161837.618096
CH2O                            ,            60253339296.148293
MO2                             ,              176046487.690676
HOI                             ,               13683037.890036
I                               ,                 529933.897698
IONO2                           ,               19468046.855920
HOCl                            ,               23809676.160730
O1D                             ,                      0.071944
O3                              ,          1516054066069.508057
NO2                             ,            27717672890.656960
HCl                             ,             1251194909.654529
HBr                             ,                9094543.907446
H2O                             ,     299420696833964736.000000
BrO                             ,                 216078.105963
BrSALA                          ,                  82340.315343
BrSALC                          ,                  87293.238254
ClO                             ,                 135341.571336
SALACL                          ,                 170181.193797
OH                              ,               14304535.898633
NO                              ,             6338769467.035555
HO2                             ,              647535013.665961
SALCCL                          ,             2104918921.795933
NO3                             ,                5448675.492017
O                               ,                  16334.256318
Cl                              ,                   1257.440544
SO2                             ,             9766459371.179914
Br                              ,                  29056.418118
H2                              ,         10930505167841.500000
N2                              ,   17154681297027489792.000000
O2                              ,    4602851598238438912.000000
RCOOH                           ,                      0.219706
